State,Proportion_Democrat,Proportion_Republican,Proportion_Independent,Winner,Dem-Rep
Alabama,0.36570676932506463,0.6203096968799606,0.013983533794974743,REP,-0.254602927554896
Alaska,0.39199327449367055,0.48522790574070007,0.12277881976562939,REP,-0.09323463124702952
Arizona,0.49364690614366613,0.4905598103046474,0.015793283551686493,DEM,0.0030870958390187275
Arkansas,0.34775061953014963,0.6239572985614432,0.028292081908407152,REP,-0.2762066790312936
California,0.6349922090345022,0.3432780788831399,0.02172971208235801,DEM,0.29171413015136227
Colorado,0.5540000116673468,0.4189827117554352,0.02701727657721803,DEM,0.13501729991191158
Connecticut,0.5923871335540597,0.3920949634924463,0.015517902953493982,DEM,0.20029217006161337
Delaware,0.5878216702049562,0.39801392829507354,0.014164401499970239,DEM,0.1898077419098827
District of Columbia,0.9214969392140692,0.05397321376714795,0.02452984701878289,DEM,0.8675237254469212
Florida,0.47861450725442234,0.5121981962250404,0.00918729652053733,REP,-0.03358368897061803
Georgia,0.4949526943907977,0.49259581776955713,0.01245148783964515,DEM,0.0023568766212405667
Hawaii,0.6373363923901899,0.3426886394217965,0.019974968188013628,DEM,0.2946477529683934
Idaho,0.33062897848880207,0.6383079946458151,0.031063026865382797,REP,-0.30767901615701304
Illinois,0.5894466648954799,0.39136935882899887,0.01918397627552127,DEM,0.19807730606648105
Indiana,0.40963201215350925,0.5703063235568532,0.020061664289637536,REP,-0.16067431140334393
Iowa,0.44891715571442176,0.5308932496920227,0.02018959459355563,REP,-0.08197609397760092
Kansas,0.413961663259401,0.5617357270887625,0.024302609651836476,REP,-0.14777406382936153
Kentucky,0.3615151481115404,0.6208657186929044,0.017619133195555158,REP,-0.259350570581364
Louisiana,0.39851456801526214,0.5846088241400853,0.01687660784465253,REP,-0.18609425612482317
Maine,0.5290055791776243,0.4422776316759653,0.0287167891464104,DEM,0.08672794750165896
Maryland,0.6536066486007711,0.32150291567748757,0.024890435721741308,DEM,0.33210373292328355
Massachusetts,0.6560006300596849,0.3214191103050557,0.02258025963525933,DEM,0.3345815197546292
Michigan,0.5062081829082437,0.4783729069113762,0.015418910180380127,DEM,0.02783527599686747
Minnesota,0.5239509930974001,0.4528494240916937,0.023199582810906113,DEM,0.07110156900570641
Mississippi,0.4101318296631189,0.575406293577619,0.014461876759262216,REP,-0.16527446391450007
Missouri,0.4140878173618836,0.5679965577888949,0.017915624849221504,REP,-0.1539087404270113
Montana,0.4041040033016921,0.5672340074288073,0.02866198926950062,REP,-0.16313000412711515
Nebraska,0.391667947539626,0.5822440685125876,0.02608798394778639,REP,-0.19057612097296156
Nevada,0.5005678195728402,0.4766624732455941,0.022769707181565645,DEM,0.02390534632724617
New Hampshire,0.5282261974317218,0.45455042701042975,0.017223375557848416,DEM,0.07367577042129209
New Jersey,0.5714726720847354,0.41261556703709756,0.01591176087816707,DEM,0.15885710504763784
New Mexico,0.5428928584957222,0.43496669246129455,0.02214044904298323,DEM,0.10792616603442767
New York,0.6088091942621541,0.3773393675496712,0.013851438188174766,DEM,0.2314698267124829
North Carolina,0.48586220571564476,0.4993434152650928,0.014794379019262413,REP,-0.013481209549448037
North Dakota,0.31756762359080093,0.6511404873707572,0.03129188903844187,REP,-0.3335728637799563
Ohio,0.45239338340705026,0.5327130010087464,0.014893615584203308,REP,-0.08031961760169615
Oklahoma,0.32286174335986634,0.6537327184806295,0.02340553815950417,REP,-0.3308709751207632
Oregon,0.5645331865404888,0.4036724604634335,0.031794352996077614,DEM,0.16086072607705526
Pennsylvania,0.4996094728641761,0.487817849306632,0.01257267782919185,DEM,0.011791623557544095
Rhode Island,0.5929900868154064,0.386993762381798,0.0200161508027956,DEM,0.20599632443360844
South Carolina,0.43430088142061785,0.5511029395674024,0.014596179011979729,REP,-0.11680205814678457
South Dakota,0.3560525213613529,0.6176938967225024,0.02625358191614471,REP,-0.2616413753611495
Tennessee,0.3744967317436964,0.6066221557854652,0.018881112470838433,REP,-0.23212542404176878
Texas,0.4646728534974343,0.5204447181109659,0.014882428391599829,REP,-0.05577186461353162
Utah,0.37646048583306063,0.5812983902991959,0.04224112386774343,REP,-0.2048379044661353
Vermont,0.6608641693066397,0.3067376465593259,0.032398184134034426,DEM,0.3541265227473138
Virginia,0.5410951717780242,0.4399550366728214,0.018949791549154316,DEM,0.10114013510520287
Washington,0.5797030113530306,0.3876697774334327,0.03262721121353664,DEM,0.19203323391959787
West Virginia,0.29696521244519614,0.6863155192461606,0.01671926830864328,REP,-0.3893503068009645
Wisconsin,0.4945401643500603,0.488290300823206,0.017169534826733696,DEM,0.006249863526854305
Wyoming,0.26553574332014523,0.6993622748541181,0.035101981825736636,REP,-0.4338265315339728
